Date,Day,Month,Quarter,Year,Open,High,Low,Close,Adj Close,Volume
02-01-2019,Wednesday,January,Q1,2019,185.8300018,190.8200073,185.3099976,189.7400055,183.7307587,4294000
03-01-2019,Thursday,January,Q1,2019,187.5,187.5099945,180.9799957,181.1799927,175.4418335,5070900
04-01-2019,Friday,January,Q1,2019,184.8500061,191.25,184.4400024,189.7599945,183.7501221,4452900
07-01-2019,Monday,January,Q1,2019,190.6300049,193.0200043,189.7100067,191.2200012,185.1638794,4219200
08-01-2019,Tuesday,January,Q1,2019,189.8999939,192.4900055,188.5,192.2799988,186.5121765,5069700
09-01-2019,Wednesday,January,Q1,2019,194.3000031,196.5500031,193.2799988,195.7700043,189.8974915,5471500
10-01-2019,Thursday,January,Q1,2019,193.0299988,197.2400055,191.3200073,196.9499969,191.0420685,3693600
11-01-2019,Friday,January,Q1,2019,196.0700073,196.6999969,194.7100067,195.8999939,190.0235748,2500100
14-01-2019,Monday,January,Q1,2019,194.3800049,197,194,195.4299927,189.5676727,3336500
15-01-2019,Tuesday,January,Q1,2019,195.2200012,197.3500061,193.1000061,196.5200043,190.625,3783000
16-01-2019,Wednesday,January,Q1,2019,197.5099945,198.4100037,196.5,197.7700043,191.8374939,3546300
17-01-2019,Thursday,January,Q1,2019,197.4499969,200.3999939,197.1000061,199.3099976,193.3312836,2764100
18-01-2019,Friday,January,Q1,2019,201.1799927,202.5299988,200.0200043,202,195.9405975,4866600
22-01-2019,Tuesday,January,Q1,2019,199.7899933,201,197.6499939,199.4600067,193.4768219,4457700
23-01-2019,Wednesday,January,Q1,2019,201.0500031,201.0599976,196.6000061,198.3500061,192.4000702,3086100
24-01-2019,Thursday,January,Q1,2019,198.4199982,200.1999969,197.9299927,199.7899933,193.796875,2792000
25-01-2019,Friday,January,Q1,2019,202.1900024,203.8899994,199.7899933,202.9400024,196.8524323,4677500
28-01-2019,Monday,January,Q1,2019,200.7400055,200.9799957,198.0599976,200.1600037,194.1557922,3277200
29-01-2019,Tuesday,January,Q1,2019,200.1900024,200.6699982,197.6600037,199.2400055,193.2633514,3661900
30-01-2019,Wednesday,January,Q1,2019,200.4199982,204.8300018,199.8999939,204.0200043,197.9000092,4079500
31-01-2019,Thursday,January,Q1,2019,209.8000031,212.9700012,208,211.1300049,204.7967224,11316200
01-02-2019,Friday,February,Q1,2019,211.9900055,214.6399994,211.1999969,213.7700043,207.3575134,6470100
04-02-2019,Monday,February,Q1,2019,214.3500061,214.9499969,213.1999969,214.9100037,208.4633484,4397500
05-02-2019,Tuesday,February,Q1,2019,215,216.6999969,214.9499969,215.8600006,209.3848572,3091500
06-02-2019,Wednesday,February,Q1,2019,215.25,215.8999939,213.6799927,215.3000031,208.841629,2698000
07-02-2019,Thursday,February,Q1,2019,213.4600067,214.4499969,211.6000061,213.9700012,207.5515289,2742900
08-02-2019,Friday,February,Q1,2019,212,216.6300049,212,216.5800018,210.0832367,3248400
11-02-2019,Monday,February,Q1,2019,216.9900055,218.6499939,216.3399963,217.1000061,210.5876312,2974400
12-02-2019,Tuesday,February,Q1,2019,218.5599976,219.4900055,217.6399994,218.9100037,212.3433533,3411400
13-02-2019,Wednesday,February,Q1,2019,219.7899933,221.2799988,219.4400024,220.5399933,213.9244385,2996600
14-02-2019,Thursday,February,Q1,2019,219.5099945,220.9799957,218.6199951,219.8099976,213.2163849,2875600
15-02-2019,Friday,February,Q1,2019,222.1900024,222.3500061,220.4799957,222.1100006,215.4473877,2758500
19-02-2019,Tuesday,February,Q1,2019,221.4299927,221.9600067,220.3600006,220.5899963,213.9729309,2836700
20-02-2019,Wednesday,February,Q1,2019,221.2200012,221.8300018,219.3999939,221.1100006,214.477356,3103600
21-02-2019,Thursday,February,Q1,2019,220.2100067,221.0299988,218.6199951,219.3099976,212.7313232,3528800
22-02-2019,Friday,February,Q1,2019,220,223.6300049,219.6999969,223.3200073,216.621048,3295300
25-02-2019,Monday,February,Q1,2019,225,225.3999939,223,223.3200073,216.621048,3359200
26-02-2019,Tuesday,February,Q1,2019,222.1600037,225.1799927,222.0500031,224,217.2806396,2852300
27-02-2019,Wednesday,February,Q1,2019,223.0399933,224.6100006,221.7400055,224.5700073,217.8335724,2119500
28-02-2019,Thursday,February,Q1,2019,224.0899963,225.6000061,223.6600037,224.7700043,218.0276031,3240400
01-03-2019,Friday,March,Q1,2019,226.8800049,228.1499939,225.3600006,227.25,220.4331512,3001400
04-03-2019,Monday,March,Q1,2019,227.3099976,228.5,223.6699982,226.2899933,219.5019836,2977700
05-03-2019,Tuesday,March,Q1,2019,226.2299957,226.9199982,225.2899933,226.2200012,219.4340668,2779100
06-03-2019,Wednesday,March,Q1,2019,225.8500061,226.5099945,223.9499969,224.4700012,217.7365265,2849300
07-03-2019,Thursday,March,Q1,2019,223.6199951,224.4400024,220.7400055,222.4100037,215.7383423,3879600
